Title,Author
1984,George Orwel
Angels and Demons,Dan Brown
"Mio, My Son",Astrid Lindgren
Dracula,Bram Stoker
End Game,David Baldacci
Fifty Shades of Grey,E. L. James
Gone Girl,Gillian Flynn
The Order of the Phoenix,J.K. Rowling
Inferno,Dan Brown
Rainbow Six,"Clancy, Tom"
Pride and Prejudice,Jane Austen
Silent Night,Danielle Steel
State of Fear,Michael Crichton
The Catcher in the Rye,J. D. Salinger
The Circle,Dave Eggers
The Da Vinci Code,"Brown, Dan"
The Eyes of Darkness,Dean Koontz
The Fellowship of the Ring,J.R.R. Tolkien
The Fugitive,John Grisham
The Girl on the Train,Paula Hawkins
The Girl with the Dragon Tattoo,Stieg Larsson
The Great Gatsby,"Fitzgerald, F. Scott"
The Old Man and the Sea,Ernest Hemingway
The Outsider,Stephen King
The Outsiders,S. E. Hinton
The Pelican Brief,John Grisham
The Pillars of the Earth,Ken Follett
The Sun Also Rises,Ernest Hemingway
The Unwanted Wedding,Barbara Cartland
Ulysses,James Joyce
Wuthering Heights,Emily Brontë
